sample,footprintMiB,metalAllocatedMiB
0,242.641,20.281
1,242.641,20.281
2,242.641,20.281
3,32.313,20.281
4,32.313,20.281
5,32.313,20.281
6,32.313,20.281
7,32.313,20.281
8,32.313,20.281
9,32.313,20.281
10,32.313,20.281
11,32.251,20.281
12,32.251,20.281
13,32.251,20.281
14,32.251,20.281
15,32.251,20.281
16,32.251,20.281
17,32.251,20.281
18,32.251,20.281
19,32.251,20.281
20,32.251,20.281
21,27.251,20.281
22,27.251,20.281
23,27.251,20.281
24,27.251,20.281
25,27.251,20.281
26,27.251,20.281
27,26.797,19.828
28,26.797,19.828
29,26.797,19.828
30,234.235,19.828
31,234.235,19.828
32,234.235,19.828
33,31.907,19.828
34,31.907,19.828
35,31.907,19.828
36,31.907,19.828
37,31.907,19.828
38,31.907,19.828
39,31.907,19.828
40,31.907,19.828
41,31.907,19.828
42,31.907,19.828
43,31.907,19.828
44,31.907,19.828
45,31.907,19.828
46,31.907,19.828
47,31.907,19.828
48,31.907,19.828
49,31.907,19.828
50,31.907,19.828
51,26.907,19.828
52,26.907,19.828
53,26.907,19.828
54,26.907,19.828
55,26.907,19.828
56,26.907,19.828
57,26.907,19.828
58,26.907,19.828
59,26.907,19.828
60,234.251,19.828
61,234.251,19.828
62,154.251,19.828
63,31.922,19.828
64,31.922,19.828
65,31.922,19.828
66,31.922,19.828
67,31.922,19.828
68,31.922,19.828
69,31.922,19.828
70,31.922,19.828
71,31.922,19.828
72,31.922,19.828
73,31.922,19.828
74,31.922,19.828
75,31.922,19.828
76,31.922,19.828
77,31.922,19.828
78,31.922,19.828
79,31.922,19.828
